location_name,operated_by,website,phone,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
Listowel Memorial Hospital Testing Centre,Listowel Memorial Hospital,https://lwha.ca/covid-19-up-to-date-information-you-need-to-know/,519-292-2133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,No,,,,,,,,,,,,,,,14:00-19:00,,0m,No,No,Yes,No,No main entrance to facility. You will be screened and then will go to registration.,Situé dans le bâtiment directement en face de l’hôpital. Un stationnement est disponible directement en face du bâtiment.,,,,,Closed,,
Oakridge Arena,London Health Sciences / St. Joseph's Healthcare London / Middlesex PHU,https://www.healthunit.com/covid-19-concerns,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural Wellington Assessment Centre / Mount Forest & District Sports Complex,Mount Forest Family Health Team,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,519-323-0255 ext. 5082,,No,Philip,Sent email through contact form,,,,,,,,,,,,,,No,Philip,Sent email through contact form,,,,,,,,,,,,,,,2y,No,No,,Yes,Enter at the main entrance. Clients with appointments will be served prior to drop-ins.,,,Yes,,,Closed,,
Niagara Health Greater Niagara General Site,Niagara Health Greater Niagara General Site,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,905-378-4647 ext 42819,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,,,,,,,,,,,,Closed,,
Niagara Health St. Catharines Site,Niagara Health St. Catharines Site,https://www.niagarahealth.on.ca/site/news/2020/03/24/niagara-healths-covid-19-assessment-centres,905-378-4647 ext 42819,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,,,,,,,,,,,,Closed,,
Rural Lambton Assessment Center,Bluewater Health,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-882-2500,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-12:00,,0m,No,No,,No,,,,Yes,,,,,
Six Nations COVID-19 Assessment & Drive-Through Test Centre,Restricted to Six Nations members and providers only,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-20:00,8:00-20:00,,,,,,,,Six Nations of the Grand River,,,,Closed,,
South Bruce Grey Health Centre - Kincardine Campus,South Bruce Grey Health Centre,https://www.sbghc.on.ca/coronavirus/assessment-centres,519-370-2400 ext 4313,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,Yes,"Signage at the hospital driveway and parking area indicates which route to follow to access the assessment centre. Drive-through only, people are to remain in their car.",,,Yes,,,Closed,,
South Huron and Grand Bend Assessment Centre,South Huron Hospital Association – Grand Bend and Area CHC,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,519-238-2362,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,0m,No,No,,No,Drive into parking lot. Park in the west parking spaces close to the fenced area. You will get instructions in-person on when to drive up to the test site.,Allez dans le stationnement. Stationnez-vous dans le stationnement Ouest près de la zone clôturée. On vous indiquera à quel moment vous diriger en voiture vers l’emplacement où sont effectués les tests.,,Yes,,,Closed,,
St. Joseph's Healthcare Hamilton - East End,St. Joseph's Healthcare Hamilton - East End,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,10:00-14:00,10:00-14:00,0m,No,No,Yes,Yes,Separate entrance with screener at the door.,,,,,,10:00-14:00,,
Carling Heights Optimist Community Centre,St. Joseph's Healthcare London and London Health Sciences Centre,https://www.healthunit.com/covid-19-concerns,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,11:00-19:00,11:00-19:00,0m,Yes,No,,Yes,,,,Yes,,,,,
Kitchener-Waterloo-Wilmot-Wellesley-Woolwich (KW4) COVID-19 Assessment Centre - Westmount Plaza,St. Mary's General Hospital and Westmount Place Walk-In Clinic,,1-855-414-2255,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6m,No,No,,Yes,Call ahead to arrange an appointment.,,,Yes,,,Closed,,
St. Mary's General Hospital - Bathurst Site,St. Mary's General Hospital Cardiac Rehabilitation Centre,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-885-9517,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,0m,No,No,,Yes,,,,Yes,,,,,
St. Thomas Elgin General Hospital,St. Thomas Elgin General Hospital,https://www.stegh.on.ca/node/626,519-631-2030 ext. 6210,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-18:00,8:00-18:00,0m,,,,,,,,Yes,,,,,
Tillsonburg District Memorial Hospital,Tillsonburg District Memorial Hospital,,,No,No,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,0m,No,No,,No,Please call to schedule an appointment. Located in another building (not the hospital). There is front entrance and back exit for persons to follow to maintain a one-way flow through the building. Interpreter services can be arranged if known at the time of booking. Urgent bookings for symptomatic persons are available for same day.,,,Yes,,,,,
West Haldimand General Hospital,West Haldimand General Hospital,https://www.whgh.ca/,905-768-3311 Ext. 1113,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Located at the main doors of the building. Do not leave your car. Staff will come to you.,Situé à la porte principale du bâtiment. Ne sortez pas de votre véhicule. Un membre du personnel viendra vous voir.,,,,,,,
Windsor Regional Hospital - Ouellette Campus,Windsor Regional Hospital - Ouellette Campus,https://www.wrh.on.ca/coronavirus,519-254-5577,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-16:00,9:00-16:00,0m,Yes,Yes,,Yes,Located immediately south of the Emergency Department on Goyeau Street.,Situé immédiatement au sud du service des urgences sur la rue Goyeau.,,Yes,,,9:00-16:00,,
Woodstock General Hospital,Woodstock General Hospital,https://www.wgh.on.ca/,1-855-905-6148,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,10:00-20:00,10:00-20:00,0m,No,No,,Yes,Located in the trailer by the front entrance of the hospital. Parking is in the hospital visitor lot. You will be given all instructions at the time of your appointment booking.,Situé dans la roulotte à l’entrée avant de l’hôpital. Stationnez-vous dans le stationnement des visiteurs de l’hôpital.,,Yes,,,,,
Stratford General Hospital,Stratford General Hospital,,519-272-8210 ext 2747,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,Yes,No,,Yes,Drive-through by appointment only. Clients should bring their health card. French language services available upon request when booking the appointment.,,,Yes,,,,,
Niagara Health - Welland Hospital Site (WHS),Niagara Health,https://www.niagarahealth.on.ca/site/news/2020/05/25/niagara-health-expands-testing-at-assessment-centres,905-378-4647 ext 42819,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Patients are encouraged to call the centre for an appointment and instructions on how to access the centre. Dedicated parking spots can be accessed from MacLean Place and Plymouth Road. Walk-ins are accepted until 16:30 on days of operation.,Nous encourageons les patients à téléphoner au centre pour prendre rendez-vous et obtenir des directives sur la façon d'accéder au centre. ll est possible d'avoir accès à des places de stationnement réservées à partir de Place MacLean et du chemin Plymouth. Les consultations sans rendez-vous sont acceptées jusqu'à 16 h 30 durant les jours d'ouverture.,,,,,Closed,,
Killaloe - Killaloe Curling Club/Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,,,,,Call ahead and have your OHIP card ready. A medical receptionist will take your details and arrange for a physician or nurse practitioner to contact you via telephone. Areas of focus are patients without a family physician and those with potential COVID.,Téléphonez à l'avance et ayez votre carte Santé à portée de la main. Un ou une réceptionniste médical-e prendra en note vos renseignements et veillera à ce qu'un médecin ou un membre du personnel infirmier communique avec vous par téléphone. La priorité est accordée aux patients sans médecin de famille et à ceux possiblement atteints de la COVID.,,,,,,,
Royal Victoria Regional Health Centre - Clinic C,Royal Victoria Regional Health Centre,https://www.rvh.on.ca/SitePages/coronavirus.aspx,,,No,Uttara,Collected hospital contact info,bcfmc.info@bcfht.ca,Barrie and Community main line,,,,,,,,,,,,No,Uttara,Collected hospital contact info,bcfmc.info@bcfht.ca,Barrie and Community main line,,,,,,,,,,,8:00-20:00,8:00-20:00,6m,Yes,Yes,Yes,Yes,Please arrive to atrium entrance and remain in your car. For pedestrian traffic please walk up and sit on the bench. This clinic is for people that are asymptomatic but want to be tested.,"Veuillez vous présenter à l'entrée de l'atrium et demeurer dans votre voiture. Pour les piétons, veuillez vous avancer jusqu'au banc et vous asseoir. Cette clinique est à l'intention des personnes asymptomatiques qui désirent subir un test de dépistage.",,,,,,,
North Durham COVID-19 Assessment Centre,Medical Associates of Port Perry and Uxbridge Family Health Center,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12:00-16:00,12:00-16:00,,,,,,Register at the website provided.,,,,,,,,
Goderich Assessment Centre,"Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health",https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,519 524 6060 ext. 263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0m,No,No,,No,Stay in your car and drive up to the underpass. Do not leave your car.,,,Yes,,,Closed,,
Garnet B. Rickard Recreation Complex,Lakeridge Health,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"Enter through West entrance sliding doors, and follow directions to Main Function Hall through the right side hallway. Closed Wednesday, August 26.",,,,,,,,
